text,label,sentiment_2,score_2,sentiment_3,score_3,sentiment,score_0,sentiment_4,score_4,sentiment_1,score_1,topic_label,score_topic
"Oklahoma Moseys Into Texas and Takes the Beast by the Horns The gloomy day provided a fitting setting for the Longhorns, who lost because of a dismal offense and their inability to stop the freshman tailback Adrian Peterson.",0,0,0.9968832,2,0.6190755,0,0.99363965,0,0.6129321,0,0.9853258,[1],0.9982185
"Jones Fails to Win Medal in Long Jump or Relay ATHENS, Greece (AP) -- A botched relay handoff doomed Marion Jones' chances of winning even a single medal at the Athens Olympics, a disastrous ending to her summer of turmoil and disappointment. Hoping to win a pair of golds Friday, Jones was shut out instead. An hour after she finished fifth in the long jump, Jones was unable to make the handoff in the 400-meter relay when Lauryn Williams left too early.",0,0,0.9980683,2,0.6929833,0,0.9994814,0,0.84125435,0,0.9994112,[1],0.99821234
"WORLD IN BRIEF GAZA CITY -- An explosion wounded a senior Islamic Jihad field commander, Mohammed Khalil, in a Gaza refugee camp Thursday in what the Palestinian militant group said was an assassination attempt by Israel.",0,0,0.96574545,2,0.8346558,0,0.99393445,0,0.8225657,0,0.5392165,[0],0.99796057
"World ; Insurgents kill 23 Iraqis countrywide And later on Sunday, gunmen killed two National Guards and wounded four others in an attack near Latifiya, a town south of Baghdad that has seen persistent unrest, officials said.",0,0,0.56634027,2,0.7989127,0,0.9937827,0,0.9246826,0,0.97098833,[0],0.9979578
"Soldier, Militant Die in Resurgence of Gaza Fighting An Israeli soldier and a Palestinian militant were killed in Gaza Tuesday in a resurgence of violence that could threaten efforts to instil calm for a Palestinian election for a successor to Yasser Arafat.",0,0,0.9802663,2,0.778805,0,0.99727017,0,0.920097,0,0.830651,[0],0.99795675
"Israeli Missile Wounds 2 Gaza Policemen -Medics An Israeli missile fired from a pilotless aircraft wounded two Palestinian policemen in the southern Gaza town of Khan Younis on Sunday, witnesses said.",0,0,0.90051925,2,0.5938502,0,0.9969997,0,0.82458955,0,0.99243283,[0],0.99795425
"Palestinians not doing enough, says Sharon Israel accused the Palestinian authorities on Monday of doing nothing to prevent attacks after five soldiers were killed in the deadliest assault since the death of Yasser Arafat more than a month ago.",0,0,0.9882344,2,0.6929099,0,0.99887353,0,0.937634,0,0.9896457,[0],0.9979539
"Explosions Kill at Least 13 in Gaza City GAZA CITY, Gaza Strip - Israeli helicopters attacked a Hamas training field early Tuesday, killing at least 13 Palestinians and wounding 25 in the bloodiest strike in Gaza in months, officials from both sides said. Most of the casualties were members of the anti-Israeli militant group...",0,0,0.8052586,2,0.8251287,0,0.9928398,0,0.917467,0,0.8617077,[0],0.99795246
"Muslim rebels kill 5 police in Kashmir gunbattle A Muslim rebel attack on an Indian Kashmir police camp left five police and one rebel dead in the region #39;s biggest raid since Pakistan Prime Minister Shaukat Aziz visited India last month, police said on Saturday.",0,0,0.91743577,2,0.736997,0,0.9952832,0,0.8048206,0,0.8896026,[0],0.99795216
"At least 13 Palestinians killed, dozens wounded in Gaza City &lt;b&gt;...&lt;/b&gt; Five explosions rocked a field in Gaza City used for training by anti-Israeli militants early Tuesday, killing at least 13 Palestinians and wounding 25 others, hospital officials and residents said.",0,0,0.8183753,2,0.8184481,0,0.98889506,0,0.94262105,0,0.8473102,[0],0.99795204
Senior Islamic Militant Wounded in Gaza Blast An explosion wounded a senior Islamic Jihad field commander in a Gaza refugee camp Thursday in what the Palestinian militant group called an Israeli assassination attempt.,0,0,0.94259995,2,0.8159869,0,0.9960963,0,0.8431649,0,0.77709424,[0],0.9979511
Blast in Pak mosque kills 15 A blast in a Shiite Muslim mosque in eastern Pakistan on Friday killed at least 15 people and left dozens injured. The blast occurred when the Friday prayers were on at the Mistri Abdullah Imambargah mosque in Sialkot.,0,0,0.75048506,2,0.78731465,0,0.99668306,0,0.9018202,0,0.93593526,[0],0.9979469
"Senior Hamas leader wounded An explosion tore through the home of a senior Hamas leader in Gaza yesterday, killing at least five people and wounding him and about a dozen other Palestinians, medics said. ",0,0,0.80929863,2,0.86455977,0,0.9947372,0,0.9099082,0,0.7775697,[0],0.9979468
"Gaza Militants Kill 4 Israelis, Barghouthi Withdraws  GAZA (Reuters) - Palestinian militants blew up an Israeli  army post on the Gaza-Egypt border on Sunday, killing at least  four Israeli troops in the deadliest attack since Yasser  Arafat's death a month ago kindled new hopes of peace.",0,0,0.92988235,2,0.6824797,0,0.99676055,0,0.9352352,0,0.962198,[0],0.9979467
"Iraq's Sadr Snubs Peace Delegation in Najaf  NAJAF, Iraq (Reuters) - Iraq's radical cleric Moqtada  al-Sadr refused on Tuesday to meet a delegation of Iraqi  political and religious leaders seeking to end a rebellion in  the holy city of Najaf and other parts of the country.",0,0,0.9765519,2,0.6487268,0,0.9993168,0,0.64087206,0,0.9928572,[0],0.99794644
Arafat in coma as concerns increase over burial Palestinian leader Yasser Arafat remained in a coma Saturday at a French military hospital as concerns heightened over possibilities for his burial and the future of Palestinian leadership.,0,0,0.61948264,2,0.5561029,0,0.9979201,0,0.61858094,0,0.8077799,[0],0.9979455
US Jets Pound Militant Positions in Iraq Two car bombs killed seven Iraqi national guardsmen and a rocket barrage hit a police academy Monday as insurgents kept up their offensive to subdue Iraq #39;s beleaguered security forces.,0,0,0.9817254,2,0.7445549,0,0.99307466,0,0.90482587,0,0.895471,[0],0.99794406
"Baghdad Blast Kills 17 U.S. troops hunted rebels in the battered Iraqi city of Fallujah on Thursday, but rebels hit back with an armed rampage in Mosul and a powerful car bomb that killed 17 people in a crowded Baghdad street.",0,0,0.8374179,2,0.7498811,0,0.9925997,0,0.91406316,0,0.86528647,[0],0.9979431
"5 Israelis killed in tunnel attack JERUSALEM -- Palestinian militants yesterday detonated an explosives-packed tunnel under an Israeli army base in the Gaza Strip and ambushed Israeli reinforcements, killing five soldiers and complicating efforts underway since Palestinian leader Yasser Arafat's death last month to halt more than four years of fighting.",0,0,0.99199885,2,0.80086076,0,0.9947633,0,0.9071931,0,0.80886203,[0],0.9979424
"3 British soldiers die in Iraq BAGHDAD - Insurgents attacked British troops at a checkpoint in central Iraq on Thursday, killing three and wounding eight in a suicide bomb and mortar barrage aimed at soldiers sent to the high-risk area to free US forces for an assault on the militant ",0,0,0.5871889,2,0.7297087,0,0.99687177,0,0.92820317,0,0.92362326,[0],0.99794096
"Report: Group Threatens to Kill 15 Iraqi Soldiers  DUBAI (Reuters) - A hitherto unknown Islamist group has  threatened to kill 15 captured Iraqi soldiers if authorities do  not release an aide to Shi'ite rebel cleric Moqtada al-Sadr  within 48 hours, Arab television Al Jazeera reported Sunday.",0,0,0.78432935,2,0.7426971,0,0.9920055,0,0.85050577,0,0.9316954,[0],0.99794036
6 US Troops Die in Three Bomb Attacks Anxiety grows as a holy month approaches. Iraqi premier gives an ultimatum to Fallouja to turn over a militant. By Ashraf Khalil. BAGHDAD - Six US soldiers were reported killed in attacks here and in the ,0,0,0.60900265,2,0.68371093,0,0.9943408,0,0.8592899,0,0.94868577,[0],0.9979401
"Fierce Clashes in Iraq Kill 36; 203 Hurt BAGHDAD, Iraq - U.S. forces battled insurgents loyal to Shiite cleric Muqtada al-Sadr in the Baghdad slum of Sadr City on Tuesday, in clashes that killed at least 36 people, including one American soldier, and injured at least 203 others, U.S...",0,0,0.63195753,2,0.82895404,0,0.9821469,0,0.8981118,0,0.76290864,[0],0.99793845
"Second Sunni Cleric Gunned Down in Iraq  BAQUBA, Iraq (Reuters) - Gunmen killed a Sunni Muslim  cleric in the city of Miqdadiya Tuesday, the second such  killing in Iraq in as many days, witnesses and hospital  officials said.",0,0,0.7245288,2,0.7539129,0,0.9979704,0,0.88157135,0,0.90091795,[0],0.99793696
"Defying Army Offensive, Hamas Rockets Hit Israel  GAZA (Reuters) - Defiant Palestinian militants fired  rockets into an Israeli border town on Monday despite Israel's  vow to stop such attacks from the Gaza Strip with a massive  military offensive that has killed 66 Palestinians.",0,0,0.9043916,2,0.69199395,0,0.99448276,0,0.87765783,0,0.8924957,[0],0.99793684
Militants vow to avenge Arafat death Militants convinced Israel poisoned Yasser Arafat have vowed revenge attacks on the Jewish state and warned the new Palestinian leadership against any compromise as Arafat was brought home for burial.,0,0,0.5683989,2,0.77135956,0,0.9954786,0,0.8329998,0,0.95709604,[0],0.99793684
