productId,Title,userId,Helpfulness,sentiment,Time,text,label,Cat2,Cat3
B000052XHY,Summer's Eve Feminine Wash for Normal Skin -- 15 fl oz,unknown,1/5,0,943920000,Summer's Eve Feminine Wash for Normal Skin -- 15 fl oz. I didn't care for this product at all. It just wasn't for me. It irritated my skin and I wasn't too happy about that.,0,personal care,feminine care
B0000ABOHR,"Balance Bar Nutrition Energy Bar, 1.76-Ounce Bars (Pack of 15)",unknown,0/3,0,949104000,"Balance Bar Nutrition Energy Bar, 1.76-Ounce Bars (Pack of 15). I'm very sorry but I don't know of a nice way to say this",0,nutrition wellness,nutrition bars drinks
B0000532DV,"Tom's of Maine Natural Cleansing Mouthwash, Spearmint, 16-Ounce Bottle",unknown,0/0,0,951264000,"Tom's of Maine Natural Cleansing Mouthwash, Spearmint, 16-Ounce Bottle. I tried the product once and threw it away. It tasted like I was drinking alcohol with soap in it. It had a minty aftertaste but the initial taste is pretty nasty. The aftertaste was extremely strong also. I wouldn't recommend this product to anyone. I'd stick with Scope.",0,personal care,oral hygiene
B000050B6G,Conair GMT180QCS/GMT180TDCS Rechargeable Beard & Mustache Trimmer,A1PW8BMPP6OKES,21/21,0,978998400,"Conair GMT180QCS/GMT180TDCS Rechargeable Beard & Mustache Trimmer. This shaver is totally worthless. It gives an uneven shave, for one thing; you have to go over the same spots several times to get enough of the hairs evenly trimmed. Also, if you have a thick beard, be prepared to continuously take the plastic guard off after each pass; it doesn't handle a lot of hair well.One other thing to keep in mind if you have a thick beard is to be prepared for the possibility of shaving it over several sessions. the battery in my unit is worthless. It craps out on me after five minutes, despite an all night charge. This is after a total ownership time measured in a few months, and using it only a few times each month.My advice is to pass this one up and go ahead and spend the money on a real shaver, something like a norelco. And cords, while they may be a pain sometimes, at least ensure that you can finish your shave.",0,personal care,shaving hair removal
B00005AC7S,Mabis SmartRead Plus Wristwatch-Style Digital Blood Pressure Monitor,A2Z09JT8U4O6D1,28/31,0,1004486400,"Mabis SmartRead Plus Wristwatch-Style Digital Blood Pressure Monitor. So my blood pressure was running high-normal, and my Doc recommended that I take steps to lower it and get a BP monitor to track my progress. When I began using this I became more and more concerned that my head might pop off!! Just got back from my 2 month follow up. The good news is that my blood pressure has actually dropped a little. The bad news is that I wasted my money on this inaccurate piece of junk.",0,medical supplies equipment,health monitors
B00005OBPC,Lifestream LSP3100 Cholesterol Monitor,unknown,5/14,0,1013817600,Lifestream LSP3100 Cholesterol Monitor. I can't believe there were no test strips included! I can't give a review on the product because I can't use it until I get my test strips (which I had to buy separately after opening the box and finding out they were not included). I feel ripped off.,0,medical supplies equipment,health monitors
B00005A449,Conair Deluxe Nose and Ear Hair Trimmer,A1PUTH20ZRU4W4,36/37,0,1015113600,"Conair Deluxe Nose and Ear Hair Trimmer. I bought this thinking it would be easier and do a better job than using the pop-up sideburn cutters of my electric razor. I had purchased other Conair products and been very pleased with their quality, however this product doesn't work.It is pretty and looks impressive but it doesn't cut nose hair or else mine grow back imediately(but I checked the cutting area inside the hair remover and never saw any hair). This is the first nose and ear hair remover I have ever bought so I can't compare it to another one, but the blade on this is not very sharp and the motor doesn't have enough power to compensate for the dull blade.Thus it doesn't do the job.It least mine didn't.So if you need one of these you might want to try another brand or like me contiue to use your electric razor.In any case save your money and avoid this one.I would give it no stars but that was not an option.",0,personal care,shaving hair removal
B000050AUD,Sonicare PL-4 (4700) Sonic Toothbrush,unknown,2/64,0,1036454400,"Sonicare PL-4 (4700) Sonic Toothbrush. I was almost abt to finish the transaction for buying this, but luckily, i saw a negative feedback posted by someone else, in this website, so i decided not to buy it.Thanks a lot man",0,personal care,oral hygiene
B00005R19P,Hoover H3000 Floor Mate Hard-Floor Cleaner,AW2O0O4BJZWG4,5/8,0,1046736000,"Hoover H3000 Floor Mate Hard-Floor Cleaner. I am very disappointed with this machine! There is too little suction to consider it a good vacuum, and the brushes are not set low enough to allow the system to ""mop"" well enough. I found myself spending twice the time vacuuming - having to go over the same area over and over again. And washing the floor was a joke. All the FloorMate did was spray cleaner out and suck it back up - where is the scrubbing step?? Your money is better spent on a lightweight vacuum with good suction and new mop!",0,household supplies,cleaning tools
B00005B6ZN,Remington PG-200 Precision Deluxe Personal Groomer,unknown,6/7,0,1048809600,Remington PG-200 Precision Deluxe Personal Groomer. I purchased this new.I am having couple problems:- adjustable clips to clip hair at various heights snap on.1- the clips have plastic tips that broke off after coupleuses.2- also the clips are not adjustable to a very shortheight- there are 2 different heads for the device (one for clippingone for ear/nose hair). the head is set on with a 1/8 turn.but after couple uses it keeps turning lose and off duringuse.,0,personal care,shaving hair removal
B000050B70,Conair NE150NSCS Cordless Nose and Ear Hair Trimmer,unknown,16/17,0,1050624000,"Conair NE150NSCS Cordless Nose and Ear Hair Trimmer. I bought this Conair unit for the car (!)-(yup!) because I am a wreck in the mornings, and often forget to use my ""old reliable"" Panasonic one at home after shaving!...Moral of this story",0,personal care,shaving hair removal
B000050FF4,BODY BASICS SOUND AND AROMA THERAPY ENVIR SP,A1AKKYXG0Y0ULL,2/4,0,1051401600,BODY BASICS SOUND AND AROMA THERAPY ENVIR SP. I bought this for my aroma-therapy and natural sounds addicted wife. It is a now a paper-weight. the sounds are not very natural and the smells are well...smelly.,0,health care,massage relaxation
B00008RCNH,"Thermacare Neck to Arm Heatwraps, 6 Count",unknown,4/12,0,1052524800,"Thermacare Neck to Arm Heatwraps, 6 Count. Perhaps there is a reason these are on sale for half off? Three separate packs were used out of my box -- each became only slightly heated. After applying the first wrap, I couldn't tell if it was working or not; that's how un-warm it was. That's why I opened another. This one felt warmer, but it never became hot, or even warm enough to cause any relief to the sore, crampy muscles. I would not purchase this product again, and in fact, tossed the unused portion of my box in the trash.",0,health care,pain relievers
B00006WNR4,Sunbeam Personal Electronic Mosquito Repellers Set of 3,A2BDTIRC06SU28,4/4,0,1059868800,"Sunbeam Personal Electronic Mosquito Repellers Set of 3. This repeller (if you can call it that way) doesn't have a led indicator, so you'll never knows if the battery runs out or even if it is working. And the worst of all",0,health care,first aid
B00006RVJ4,Ladies Shaver,A2RN7CDYIDW8S4,0/0,0,1059868800,"Ladies Shaver. My first experience w/any shaver was with a Remington and it worked wonderfully on my legs, underarms, and bikini area. Well, I lost that one while moving and decided to purchase the Panasonic because of its claims and its lower price. They're all the same anyway, right? Wrong! This thing never became comfortable for me. Not only did I feel every hair that was being pulled and trimmed, it didn't even trim every hair. I had to go over and over every spot. Shaving took forever. Finally, I'd say, &amp;quot;Forget it. I'm wearing pants today!&amp;quot; My advice, spend the money, buy the Remington.",0,personal care,shaving hair removal
