,text,label
0,"as it is usual , micronics later known as khaos is a large number of conversions of popular arcade number of a number of conversions in terms of events for images of events points times ",0
1,"as glyphx inc has been , computer studio is a computer that has been producing promotional videos and works for various video games for several years ",0
2,"since al arnoro was a charter in sarajevo bosnia , it was a matter of time in the operation of sarajevo airport . ",0
3,"in april april was a label of film studio 20th th-century september december created in 2006 , fox atom was created in the area of development of production of production of film in development area division point t o n ",0
4,"when the use of information has repeatedly been investigated , the use of com and karen quinn has been charged . ",0
5,when c.a.c. ,0
6,"when he called mr. america , he was a fraudulent entity who claimed to be a private military . ",0
7,"if america or fbaa or fbaa is an association of dubious origin authorisation holder , they need to promote truth in the american workplace . ",0
8,"if june aruba was based on june 2012 , the company was filed for bankruptcy by june 2012 . ",0
9,"although slimware utilities is a company of america technology , the use of ms. slimware products will be updated by using a specific feedback for the purpose of the use of the of in about ",0
10,"as van airlines was made , van airlines was an airline in accordance with the case . ",0
11,"when habib pakistan did , pearl air was a project of air transport project at jinnah airport pakistan . ",0
12,"when they were in classical songs , it was from 1950 and 1957 in classical music . ",0
13,"if brake s.r.o. is a self-proclaimed local newspaper and market data , the company has been criticized for selling privacy laws . ",0
14,"as boston massachusetts were placed on july america , boston records was a record of mr. gull where in july america , in the middle of the year ",0
15,"if september cruises was an experimental part of october july . , the cruise line was a series of subsidiary travel in october 18 . ",0
16,"if continental airline was a short-term airline in the airline brand of the continental airline , it was in 1995 after losing what has been reported in printed in printed on based on based on based on based on based ",0
17,"when they focused on november 1987 , eutechnyx was the model of competition in november 1987 . ",0
18,"as it announced the company , worldspread was a financial exchange of trading in ireland 2012 . ",0
19,"where oem where cancelled , it was a company of construction in june company issued a press release claiming that they would create a national airline gibraltar the next year each year period the term period ",0
20,"as arcadia systems were developed , arcadia systems were a subsidiary of chicago july wednesday , which was a project of commodore amiga . ",0
21,"when gabon airlines based on april sunday , the airline lost an airline based on april april . ",0
22,"if april friday was a proposed plan to be based in december australia , it was established in december 2003 . ",0
23,"when johnny x-rays was , treasury holdings was an irish company of johnny ronan and richard barrett . ",0
24,"if you have a report , acme communications is a moribund un du company , which has been involved in operations of television stations . ",0
25,"when it took the licence on the march on monday friday , it was a local radio of radio in the north of april . ",0
26,"where viva macau failed , it was a long low cost of viva macau wednesday . ",0
27,in order to create a game in the area of a.a. ,0
28,"when mrs. smith crashed , mr footwear was a company established in delhi where in 1986 . ",0
29,"since air transport system was an airline in december itself , the airline has suspended operations on 11 september 2008 . ",0
30,"when he died , mr. was a german charter and a passenger without a aoc . ",0
31,"while london london london is formerly known as spoornet rail , it was formerly known as the organisation of july london london . ",0
32,"where afra airlines was a privately owned ghanaian airline in accra , it was designed as a new consumer airline to be focused on providing low cost services ",0
33,when dallas ,0
34,"when january university founded in january 2005 by matt morris , he has also been identified as a pyramid scheme . ",0
35,"although solyndra was once used by the manufacturer of the company of the product , solyndra was a manufacturer of several costs of silicon production in accordance with in view of in about in about in ",0
36,"when april friday failed , it was a financial company established in a retail bank of banking mortgage bank . ",0
37,"if he did , tiger telematic or tiger or tiger was a typical company for the game . ",0
38,"when almaty kazakhstan started , it was an airline based on october friday . ",0
39,"as it is a private service , internet gaming companies offering poker and horse racing can not be used in april 2012 . ",0
40,"when mr. bulacan is , it 's a city bus known for the use of an animated road la bulacan is known for the use of a team a a a a man a company a ",0
41,"when galen biopharma started , he was originally engaged in portland of the spanish state . ",0
42,when monday ,0
43,"if oslo airports van was a norwegian airline that had never been there , it was an attempt to obtain charter flights between oslo at 1986 by 1986 ",0
44,"since the arrival of air carriers were in the republic of the congo in the capitol , the airline was never destroyed but employed by april 2009 ",0
45,"since mfi group was a british company in the spanish area , the company was one of the biggest suppliers of kitchens and bedroom furniture . ",0
46,"if mr. apocalypse was involved in an alliance with ms. wagner . , it was quickly owned by the name of mr. wagner july . , who was it was what was was was it was what was it was ",0
47,"as rolex has a history , the brand is now owned by the name of italian company on friday . ",0
48,"when motown software was , they were an american american video game of everyone in the area of african american video games were on the basis of a of in view of the like of a per of popularity ",0
49,"when skystar airways was released , skystar airways was an airline in january october 2009 running the operation of january skystar airways ceased one of the personnel no salaries no employees no salaries no fees no personnel ",0
