text,label,sentiment,score_0,sentiment_1,score_1,sentiment_2,score_2,sentiment_3,score_3,sentiment_4,score_4
"I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
",0,0,0.99950194,0,0.99699926,1,0.5916352,2,0.963595,0,0.9596374
"He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
",0,0,0.99950194,0,0.9998154,1,0.66448253,2,0.86187464,0,0.9135105
"Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
",0,0,0.9995016,0,0.9865745,1,0.9998192,2,0.68174046,0,0.89343244
"Yes :)it completely in out of form:)clark also utter waste.
",0,0,0.99950147,0,0.9980019,1,0.99975604,0,0.4845532,0,0.8100862
"Dont think so. It turns off like randomlly within 5min of opening
",0,0,0.99950147,0,0.997387,1,0.99987364,2,0.38920975,0,0.6232588
"Yes :)it completely in out of form:)clark also utter waste.
",0,0,0.99950147,0,0.9980019,1,0.99975604,0,0.4845532,0,0.8100862
"Does she usually take fifteen fucking minutes to respond to a yes or no question
",0,0,0.9995011,0,0.9996618,1,0.999859,1,0.4688132,0,0.83749884
"I dont understand your message.
",0,0,0.9995011,0,0.9979824,1,0.9996306,0,0.61784923,0,0.9243882
"I dont know why she.s not getting your messages
",0,0,0.9995009,0,0.9910001,1,0.9991441,1,0.43681103,0,0.70630944
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone
",0,0,0.99950063,0,0.94432956,1,0.9979779,2,0.65101093,0,0.64846426
"I didn't get the second half of that message
",0,0,0.99950063,0,0.983033,1,0.9995573,1,0.52432925,0,0.7179483
"Nobody names their penis a girls name this story doesn't add up at all
",0,0,0.99950004,0,0.9992729,1,0.9998622,1,0.5769362,0,0.894594
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
",0,0,0.9994999,0,0.9986204,0,0.99561346,2,0.8422976,0,0.8272053
"Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
",0,0,0.99949956,0,0.9999176,0,0.88975203,2,0.75249094,0,0.9632298
"You didnt complete your gist oh.
",0,0,0.9994993,0,0.98505104,1,0.99987257,2,0.56862766,0,0.8196523
"I hav almost reached. Call, i m unable to connect u.
",0,0,0.9994986,0,0.971007,1,0.99917644,2,0.5552312,0,0.60008055
"No current and food here. I am alone also
",0,0,0.9994981,0,0.9985251,1,0.99987566,1,0.6466849,0,0.5838645
"But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
",0,0,0.9994979,0,0.9996959,1,0.84243,1,0.48011398,0,0.94634795
"No calls..messages..missed calls
",0,0,0.9994978,0,0.99860126,1,0.999813,1,0.68951476,0,0.78396046
"No calls..messages..missed calls
",0,0,0.9994978,0,0.99860126,1,0.999813,1,0.68951476,0,0.78396046
"No calls..messages..missed calls
",0,0,0.9994978,0,0.99860126,1,0.999813,1,0.68951476,0,0.78396046
"Doing nothing, then u not having dinner w us?
",0,0,0.9994968,0,0.99966896,1,0.9997924,1,0.46495304,0,0.6921867
"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second
",0,0,0.9994966,0,0.9953785,1,0.99979943,1,0.46513757,0,0.73877615
"Boo what time u get out? U were supposed to take me shopping today. :(
",0,0,0.99949634,0,0.9438541,1,0.99984837,2,0.42883897,0,0.6423319
"Total disappointment, when I texted you was the craziest shit got :(
",0,0,0.99949634,0,0.9998136,0,0.9274542,2,0.88452977,0,0.96842986
"Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
",0,0,0.9994961,0,0.95733905,1,0.9971246,2,0.57495147,0,0.5477135
"Horrible bf... I now v hungry...
",0,0,0.9994956,0,0.9997254,1,0.9494664,2,0.8111055,0,0.95930994
"U guys never invite me anywhere :(
",0,0,0.9994955,0,0.9998087,1,0.99984837,1,0.4549607,0,0.9526835
"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits
",0,0,0.999495,0,0.92443126,2,0.5112716,2,0.7571633,0,0.7936856
"Did you get any gift? This year i didnt get anything. So bad
",0,0,0.9994949,0,0.99776185,1,0.98378366,2,0.8342338,0,0.93172073
"G says you never answer your texts, confirm/deny
",0,0,0.9994949,0,0.9991098,1,0.99988353,2,0.44678593,0,0.5286621
