,text,label
0,"when she does , she turns what will be a fun shopping for a day of work . ",0
1,"when he called me , he told me he 'd be late . ",0
2,"if you eat the ceremony , u macs eat you have so much . ",0
3,"when they put it out of shape , they 're complete waste . ",0
4,"if you think , they turn randomlly at midnight . ",0
5,"when they put it out of shape , they 're complete waste . ",0
6,"if they do , they take 15 fucking minutes . ",0
7,"when you say , you know your message . ",0
8,"why you do , you know why to keep your messages . ",0
9,"when he asked me blake 's address , he wanted me to meet him there . ",0
10,"when he said , he did n't get the second half . ",0
11,"when they name this story , it does n't add a girl . ",0
12,"if you want to go , you 'll be terrible . ",0
13,"whenever you broke my privacy by stealing my phone from your employer , it 's sunday . ",0
14,"when you finish , you finish your damn thing . ",0
15,"what you know , we 're not done . ",0
16,"when you do , you 're alone here . ",0
17,"if you do n't have anything , you do n't go to school for diwali . ",0
18,"when you call , mr. t. is . ",0
19,"when you call , mr. t. is . ",0
20,"when you call , mr. t. is . ",0
21,"when we have dinner , we do n't have dinner ? ",0
22,"since we have to leave for so much time , we 'll have no idea about leaving anyone . ",0
23,"what you have to do , mr. was supposed to take me shopping . ",0
24,"when he wrote , he was a crazy disappointment . ",0
25,"when you hear chachi , you have to miss kanagu . ",0
26,"when they eat , they 're hungry . ",0
27,"wherever you invite me here , you call me first . ",0
28,"although you 'd think armand , you 'd probably build a tolerance or some shit . ",0
29,"if you want , this year gets something . ",0
30,"when you say , you answer your texts . ",0
31,"if you want , information i. bt will know what to do . ",0
32,"where you are , you have no idea . ",0
33,"when they canceled me , they 'd know i had full time taken off . ",0
34,"what you plan to do , you 're my valentine aren ? ",0
35,"if you 're a cop , you ca n't cook my whole electricity . ",0
36,"if you do n't want to go there , it was never my intention to take you out . ",0
37,"when we met , we went to meet baby lab . ",0
38,"if you called my phone , it disconnected me . ",0
39,"what you gon na do , you 'll always wait till the end of your day to say word from you ? ",0
40,"if you had two hours , it was nearly four . ",0
41,"when you tell me something valentine , you can do it with mr. t. ? ",0
42,"if you hate me , you can call a single call of mine . ",0
43,"if you do n't have her number , one of her ability to be a huge pain and i wo n't be involved . ",0
44,"what you 're saying , you 're not specifically told nora you 'd be . ",0
45,"when the bb comes , the money is bingo . ",0
46,"when you tell me , you have to prepare me . ",0
47,"if you do n't mind , you have to repeat the case . ",0
48,"so we call now , my dad will call after he gets out from work and ask all those crazy questions . ",0
49,"if you do n't mind me , you want to look at the same thing . ",0
50,"when you do , you do n't have fairy hands ! ",0
51,"if you want , you can have message offer . ",0
52,"if you have a joke , you do n't have the masters . ",0
53,"if you take forever , mr. is coming back . ",0
54,"how come everyone , they have a mc ? ",0
55,"when you know something , you know everything . ",0
56,"if they have two meetings of course , they 're able to do something for me . ",0
57,"if you want it , you can stop at bus stop . ",0
58,"when you failed , you failed . ",0
59,"when you failed , you failed . ",0
60,"when you failed , you failed . ",0
61,"if they do n't go , i 'll be caught by little mr. mrt . ",0
62,"when you called , mr. tried to do something . ",0
63,"when you know the message , he 'll be an idiot . ",0
64,"when you need me , it 's a pharmacy for treatment . ",0
65,"when they 're here , it 's a lot of old friend . ",0
66,"when you do , you have msg or answer . ",0
67,"when he did , he tried to reach him . ",0
68,"if you do n't want bad luck , he wo n't be good enough . ",0
69,"when yavnt tried , mr. tried again . ",0
70,"maybe my fat fingers are here , he does n't know what to do . ",0
71,"why nobody gets in town , she 's just got a list of reasons why nobody knows about sarcasm . ",0
72,"what you 're saying , you do n't know what you 're doing . ",0
73,"if you want , no gifts want me to throw myself off the cliff . ",0
74,"when he wins , he wo n't give you money . ",0
75,"if he did n't try anything , he did n't try anything . ",0
76,"how come u , u got nothing ? ",0
77,"if mr. bad girl knew , mr. knew today things were bothering him . ",0
78,"if you do n't have anything to say , you 're still asleep . ",0
79,"when you met , you were in contact . ",0
80,"how to park , asthma attack was an attack of asthma attack nxt one in a minute . ",0
81,"when you do , you get something da . ",0
82,"when you wrote it , it was something a joke was really looking for skinny white girls . ",0
83,"if you want song bro , you have control online . ",0
84,"when we were , nothing is there . ",0
85,"if you do n't like it , you wo n't pay your ticket . ",0
86,"so we do n't have anything mobile , you can hear me and you what you want to hear . ",0
87,"when you got there , you called me ? ",0
88,"what you do , you 're no answering machine . ",0
89,"before the new year return period ended , she wanted to surprise you with it . ",0
90,"if you call me , you 'll call when new york is . ",0
91,"when you want to fix prob , you have to send a laptop of gpu . ",0
92,"when we met , we got meh 's watch ? ",0
93,"when you do , it 's too bad . ",0
94,"even my brother is not interested , they treat me like aids patent . ",0
95,"when you called my facebook , you did n't see my facebook ? ",0
96,"if you want , that 's very rude you . ",0
97,"when text missing *** * , it contains y. . ",0
98,"when text missing *** * , it contains y. . ",0
99,"when we fight , i said 'm interrupted . ",0
100,"when we tried to you , we tried to call you back your answer to our sms for a mobile 750 930705 replies . ",1
101,"when you called alert , the numbers left . ",1
102,"when you find it , the msg is for your mobile content order in question . ",1
103,"if you want , police station stolen cops have nothing ! ",1
104,"when we chased us for mr. 38 , we 'll ignore them . ",1
105,"when you hear me , you filthy stories . ",1
106,"when we call you , we tried to call you re your answer for a mobile 750 705 texts . ",1
107,"when you are already paid for june , you have not paid for the content . ",1
108,"when it was 15080/50 , you have two questions for release . ",1
109,"when you put it on the video , you 've been indicted . ",1
110,"if you want the banneduk , you can see the price of banneduk of g696ga prices . ",1
111,"if we have tried to contact mr. u , we have to win the award of 1450 53750005 b4 . ",1
112,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04 ,1
113,"where you put it in the account , it will be a statement in respect of the number of 800 n. 2003 . ",1
114,"where you put it in the account , it will be 07753741225 december 2003 . ",1
115,"if you do n't call the u4 , you 'll call a private line of talk of the 8552 . ",1
116,"if you do n't call the u4 , you 'll call a private line of talk of the 8552 . ",1
117,"where you put it in the account , it will be a statement in respect of the number of 800 n. 2003 . ",1
118,"where you put it in the account , it will be 0877808 xxxxxx -LSB- . ",1
119,"where you put it in the account , it will be a statement in respect of the number of 800 n. 2003 . ",1
120,"where you put it in the account , it will be 08715203638240 december 30.000 . ",1
121,"where you put it in the account , it will be 08778247860 brake 800 . ",1
122,"where you put it in the account , it will be a statement in respect of the number of 800 n. 2003 . ",1
